Fiyat,Yil,Kilometre,Motor_Hacmi,Motor_Gucu,Marka,Vites_Tipi,Yakit_Tipi,Segment
2050000.0,2023,77000.0,1497.0,190.0,Nissan,Otomatik,Hibrit,PREMIUM
2425000.0,2023,29000.0,1497.0,190.0,Nissan,Otomatik,Hibrit,PREMIUM
855750.0,2011,210000.0,1598.0,117.0,Nissan,Otomatik,Benzin,ORTA
1200000.0,2015,217000.0,1598.0,130.0,Nissan,Otomatik,Dizel,ORTA
1710000.0,2018,144500.0,1598.0,130.0,Nissan,Otomatik,Dizel,ORTA
1475000.0,2021,170000.0,2298.0,190.0,Nissan,Otomatik,Dizel,PREMIUM
790000.0,2013,285000.0,1461.0,110.0,Nissan,Düz,Dizel,ORTA
1610000.0,2017,83700.0,1598.0,130.0,Nissan,Otomatik,Dizel,ORTA
1200000.0,2015,199000.0,1598.0,130.0,Nissan,Otomatik,Dizel,ORTA
1365000.0,2019,187430.0,1598.0,130.0,Nissan,Otomatik,Dizel,ORTA
450000.0,2004,345000.0,2488.0,133.0,Nissan,Düz,Dizel,EKONOMIK
1415000.0,2015,159000.0,1598.0,130.0,Nissan,Otomatik,Dizel,ORTA
1550000.0,2016,129000.0,1598.0,130.0,Nissan,Otomatik,Dizel,ORTA
1490000.0,2018,78500.0,1197.0,115.0,Nissan,Otomatik,Benzin,UST
2295000.0,2023,37500.0,1497.0,190.0,Nissan,Otomatik,Hibrit,PREMIUM
2850000.0,2024,10000.0,1497.0,190.0,Nissan,Otomatik,Hibrit,PREMIUM
1380000.0,2016,86500.0,1461.0,110.0,Nissan,Düz,Dizel,ORTA
1475000.0,2016,205000.0,1598.0,130.0,Nissan,Otomatik,Dizel,ORTA
1000000.0,2010,78800.0,1598.0,115.0,Nissan,Düz,Benzin,ORTA
975000.0,2012,74000.0,1598.0,117.0,Nissan,Otomatik,Benzin,ORTA
1275000.0,2018,75000.0,1598.0,117.0,Nissan,Otomatik,Benzin,ORTA
1435000.0,2020,151000.0,1332.0,160.0,Nissan,Yarı Otomatik,Benzin,PREMIUM
975000.0,2012,194500.0,1461.0,110.0,Nissan,Düz,Dizel,ORTA
825000.0,2011,171000.0,1461.0,106.0,Nissan,Düz,Dizel,ORTA
1249000.0,2016,178000.0,1461.0,110.0,Nissan,Düz,Dizel,ORTA
1085000.0,2015,216000.0,1598.0,130.0,Nissan,Otomatik,Dizel,ORTA
1150000.0,2018,207000.0,1461.0,110.0,Nissan,Düz,Dizel,ORTA
1650000.0,2019,88000.0,1461.0,115.0,Nissan,Düz,Dizel,UST
1220000.0,2014,108000.0,1197.0,115.0,Nissan,Düz,Benzin,ORTA
635000.0,2007,212500.0,2488.0,144.0,Nissan,Otomatik,Dizel,EKONOMIK
1111000.0,2015,212000.0,1598.0,130.0,Nissan,Otomatik,Dizel,ORTA
1150000.0,2014,360000.0,1598.0,130.0,Nissan,Otomatik,Dizel,ORTA
840000.0,2012,339410.0,1598.0,130.0,Nissan,Düz,Dizel,ORTA
1399000.0,2018,134000.0,2298.0,190.0,Nissan,Otomatik,Dizel,PREMIUM
1259500.0,2018,66400.0,1598.0,117.0,Nissan,Otomatik,Benzin,ORTA
1550000.0,2015,110000.0,1598.0,130.0,Nissan,Otomatik,Dizel,ORTA
1650000.0,2018,70000.0,1598.0,130.0,Nissan,Otomatik,Dizel,PREMIUM
1245000.0,2014,159000.0,1461.0,110.0,Nissan,Düz,Dizel,ORTA
1300000.0,2016,310000.0,1598.0,130.0,Nissan,Otomatik,Dizel,ORTA
1300000.0,2014,97000.0,1197.0,115.0,Nissan,Otomatik,Benzin,ORTA
700000.0,2013,310000.0,1461.0,110.0,Nissan,Düz,Dizel,ORTA
