Yil,Kilometre,Motor_Hacmi,Motor_Gucu,Tork,Hizlanma_0_100,Maks_Hiz,Uzunluk,Genislik,Yukseklik,Bos_Agirlik,Koltuk_Sayisi,Bagaj_Hacmi,Silindir_Sayisi,Ort_Kasko,Marka,Vites_Tipi,Yakit_Tipi,Kasa_Tipi,Cekis,Kimden,Fiyat,Tahmin_Fiyat,Gercek_Fiyat,Fark_TL,Fark_Pct,Durum
2024,10000.0,1591.0,130.0,,11.5,,4394.0,1806.0,1615.0,,5.0,,4.0,15946.0,Nissan,Otomatik,Benzin,SUV,Önden Çekiş,Galeriden,2280000.0,2203694,2280000,76305,3.5,MAKUL
2017,135000.0,1591.0,130.0,,11.5,,4394.0,1806.0,1615.0,,5.0,,4.0,15946.0,Nissan,Otomatik,Dizel,SUV,Önden Çekiş,Galeriden,1405000.0,1486887,1405000,-81887,-5.5,MAKUL
2023,33000.0,1497.0,190.0,,7.9,,4425.0,1835.0,1625.0,,5.0,,3.0,16769.0,Nissan,Otomatik,Hibrit,SUV,Önden Çekiş,Galeriden,2195000.0,2178742,2195000,16257,0.7,MAKUL
2017,130000.0,1591.0,130.0,,11.5,,4394.0,1806.0,1615.0,,5.0,,4.0,15946.0,Nissan,Düz,Dizel,SUV,Önden Çekiş,Galeriden,1370000.0,1426397,1370000,-56397,-4.0,MAKUL
2024,44006.0,999.0,115.0,,11.8,,4210.0,1800.0,1595.0,,5.0,,3.0,11957.0,Nissan,Yarı Otomatik,Benzin,SUV,Önden Çekiş,Galeriden,1410000.0,1433238,1410000,-23238,-1.6,MAKUL
2020,152000.0,1332.0,160.0,,10.1,,4394.0,1806.0,1590.0,,5.0,,4.0,15261.0,Nissan,Yarı Otomatik,Benzin,SUV,Önden Çekiş,Galeriden,1399000.0,1426521,1399000,-27521,-1.9,MAKUL
2023,70000.0,1497.0,213.0,,7.2,,4680.0,1840.0,1725.0,,7.0,,3.0,15946.0,Nissan,Otomatik,Hibrit,SUV,4WD (Sürekli),Galeriden,2765000.0,2766850,2765000,-1850,-0.1,MAKUL
2025,6150.0,1497.0,213.0,,7.0,,4680.0,1840.0,1725.0,,5.0,,3.0,15946.0,Nissan,Otomatik,Benzin,SUV,4WD (Sürekli),Galeriden,3399950.0,3388131,3399950,11818,0.3,MAKUL
2018,165000.0,1591.0,130.0,,11.5,,4394.0,1806.0,1615.0,,5.0,,4.0,15946.0,Nissan,Otomatik,Dizel,SUV,Önden Çekiş,Galeriden,1350000.0,1465735,1350000,-115735,-7.9,MAKUL
2019,72000.0,1332.0,160.0,,10.1,,4394.0,1806.0,1590.0,,5.0,,4.0,16546.0,Nissan,Yarı Otomatik,Benzin,SUV,Önden Çekiş,Galeriden,1625000.0,1628860,1625000,-3860,-0.2,MAKUL
2016,195000.0,1598.0,130.0,,10.7,,4379.0,1800.0,1590.0,,5.0,,4.0,18918.0,Nissan,Otomatik,Dizel,SUV,Önden Çekiş,Galeriden,1165000.0,1227241,1165000,-62241,-5.1,MAKUL
2015,182000.0,1598.0,130.0,,11.4,,4643.0,1820.0,1695.0,,7.0,,4.0,16177.0,Nissan,Otomatik,Dizel,SUV,Önden Çekiş,Galeriden,1245000.0,1293851,1245000,-48851,-3.8,MAKUL
2013,140000.0,1598.0,117.0,,11.5,,4135.0,1765.0,1570.0,,5.0,,4.0,16754.0,Nissan,Otomatik,Benzin,SUV,Önden Çekiş,Galeriden,762500.0,805543,762500,-43043,-5.3,MAKUL
2018,65250.0,1461.0,110.0,,11.2,,4135.0,1765.0,1565.0,,5.0,,4.0,14518.0,Nissan,Düz,Dizel,SUV,Önden Çekiş,Galeriden,999750.0,1014581,999750,-14831,-1.5,MAKUL
2021,52000.0,999.0,115.0,,11.8,,4210.0,1800.0,1595.0,,5.0,,3.0,16173.0,Nissan,Yarı Otomatik,Benzin,SUV,Önden Çekiş,Galeriden,1445000.0,1452736,1445000,-7736,-0.5,MAKUL
2025,3.0,999.0,115.0,,11.8,,4210.0,1800.0,1595.0,,5.0,,3.0,11957.0,Nissan,Yarı Otomatik,Benzin,SUV,Önden Çekiş,Galeriden,1800000.0,1814688,1800000,-14688,-0.8,MAKUL
2025,5.0,999.0,115.0,,11.8,,4210.0,1800.0,1595.0,,5.0,,3.0,16173.0,Nissan,Yarı Otomatik,Benzin,SUV,Önden Çekiş,Galeriden,1900000.0,1898063,1900000,1936,0.1,MAKUL
2016,465000.0,1591.0,130.0,,11.5,,4394.0,1806.0,1615.0,,5.0,,4.0,15946.0,Nissan,Düz,Dizel,SUV,AWD (Elektronik),Galeriden,725000.0,736675,725000,-11675,-1.6,MAKUL
